"Freta.la Vip Delivery","Entrega VIP Freta.lá"
"Credentials","Credenciais"
"Mode Setting Request Freight","Modo de pedido de Frete"
"Password","Senha"
"Highly recommend leaving enabled","Altamente recomendável deixar habilitado"
"There is something wrong with the address settings from the store, %s click here check %s","Há algo errado com as configurações de endereço da loja, %s clique aqui e verifique. %s"
"The format of the postcode should be xxxxx-xxx or xxxxxxxx","O formato do cep deve ser xxxxx-xxx ou xxxxxxxx"
"The format of the address of your shop is incorrect, please follow the following format: Street, number","O formato do endereço da sua loja está incorreto, por favor siga o seguinte formato: Rua Rio de Janeiro, 234"
"Settings","Configurações"
"Error Notifications","Notificações de Erros"
"Notification of Validation","Notificações de validações"
"Regarding freight quotes for customers.","Referente às cotações de frete pelos clientes."
"Automatic","Automático"
"There was an error communicating with the webservice Freta.la. Please check your notifications.","Houve um erro na comunicação com o webservice Freta.la. Por favor verifique suas notificações."
"This request has not yet created the freight Freta.lá","Este pedido não possui frete criado no Freta.lá"
"Create freight in Freta.la","Criar frete no freta.la"
"Shipping created!","Frete criado com sucesso!"